Space ID,space_name,space_network,space_domain,space_strategies
aave.eth,Aave,1,signal.aave.com,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}, {'type': 'contract-call', 'address': '0xC0259c59D9f980E3b5e2574cD78C9A9Bc6A8E3fc', 'network': '1'}]"
angelmother.eth,angelmother,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
asnapshot.eth,testsnapshot,1,,"[{'type': 'erc20-balance-of', 'address': '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', 'network': '1'}, {'type': 'contract-call', 'address': '0xC0259c59D9f980E3b5e2574cD78C9A9Bc6A8E3fc', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0x4da27a545c0c5b758a6ba100e3a049001de870f5', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0e5ec8e5bbdca5cb219e649b565d8e5c3360', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x63a72806098bd3d9520cc43356dd78afe5d386d9', 'network': '43114'}, {'type': 'erc20-balance-of', 'address': '0xd45b7c061016102f9fa220502908f2c0f1add1d7', 'network': 43114}]"
balsam.eth,balsam,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
caiman.eth,caiman,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
cwxcsx.eth,candy DAO Airdrop apple,137,,"[{'type': 'erc20-balance-of', 'address': '0x6b175474e89094c44da98b954eedeac495271d0f', 'network': '137'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '137'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '137'}, {'type': 'iotex-staked-balance', 'address': '0x1904BFcb93EdC9BF961Eead2e5c0de81dCc1D37D', 'network': '137'}]"
danhuacap.eth,danhuacap,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
ecashxec.eth,rabbithole兔子洞Fans,137,,"[{'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}]"
electricite.eth,electricite,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
gaggle.eth,gaggle,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
godsgirl.eth,godsgirl,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
goodchina.eth,goodchina,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
guoxinchen.eth,guoxinchen,1,guoxinchen.eth,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '1'}]"
hinny.eth,hinny,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
hotstock.eth,hotstock,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
lendhub.eth,AAVE-Matic,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
lootdex.eth,lootdex,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
mists.eth,mists,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}, {'type': 'contract-call', 'address': '0xC0259c59D9f980E3b5e2574cD78C9A9Bc6A8E3fc', 'network': '1'}]"
snapshot-test.eth,Snapshot-Test,1,,"[{'type': 'erc20-balance-of', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0x6b175474e89094c44da98b954eedeac495271d0f', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}]"
tarpon.eth,tarpon,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
toyota-motor.eth,AAVE,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
tunny.eth,tunny,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
wangzian.eth,wangzian,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
whosyourfather.eth,whosyourfather,1,,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}]"
yuihatano.eth,yuihatano,137,,"[{'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}]"
888123.eth,88AAVEDAO,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
aave.eth,Aave,1,signal.aave.com,"[{'type': 'erc20-balance-of', 'address': '0xffc97d72e13e01096502cb8eb52dee56f74dad7b', 'network': '1'}, {'type': 'governanceStrategy', 'address': '0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e', 'network': '1'}, {'type': 'erc20-balance-of', 'address': '0xD6DF932A45C0f255f85145f286eA0b292B21C90B', 'network': '137'}, {'type': 'erc20-balance-of', 'address': '0x1d2a0E5EC8E5bBDCA5CB219e649B565d8e5c3360', 'network': 137}, {'type': 'contract-call', 'address': '0xC0259c59D9f980E3b5e2574cD78C9A9Bc6A8E3fc', 'network': '1'}]"
aavegotchi.eth,Aavegotchi,137,vote.aavegotchi.com,[]
aavegotchidao.eth,aavegotchidao,137,,[]
butteryaave.eth,Buttery Aave,10,,"[{'type': 'erc721', 'address': '0xcb580e92c1447e249527097e49633befd13ceeaa', 'network': '10'}]"
chen19991021.eth,AAVE On-Chain Governance,1,,[]
cryptohuang.eth,crAAVE,137,,"[{'type': 'erc20-balance-of', 'address': '0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4', 'network': '137'}]"
